Company Name,Date Priced,Market,Offer Amount,Price,Shares,Symbol,1D,1W,1M,3M
ORCHIDS PAPER PRODUCTS CO /DE,2005-07-15,American Stock Exchange,15000000,8,1875000,TIS,0.030303636,0.248485455,0.19394,0.212121818
"CONSOLIDATED COMMUNICATIONS HOLDINGS, INC.",2005-07-22,NASDAQ,203666658,13,15666666,CNSL,0.069230769,0.136923077,0.086923077,0.010769231
"BAIDU, INC.",2005-08-05,NASDAQ,109090854,27,4040402,BIDU,1.087121212,0.484848485,0.213333333,0.056212121
"RUTHS HOSPITALITY GROUP, INC.",2005-08-09,NASDAQ,234000000,18,13000000,RUTH,0.072727327,0.025252527,-0.050000003,-0.097979702
RBC BEARINGS INC,2005-08-10,NASDAQ,134676000,14.5,9288000,ROLL,0.030405405,0.031081081,0.084459392,0.033108108
KONA GRILL INC,2005-08-16,NASDAQ,27500000,11,2500000,KONA,-0.000769231,-0.05,-0.108461538,-0.191538462
WILLIAMS PARTNERS L.P.,2005-08-18,New York Stock Exchange,107500000,21.5,5000000,WPZ,0.024096386,0.084337349,0.156626466,0.309236867
SUNESIS PHARMACEUTICALS INC,2005-09-27,NASDAQ,42000000,7,6000000,SNSS,-0.071932298,-0.040902687,-0.119887186,-0.332863205
"CARIBOU COFFEE COMPANY, INC.",2005-09-29,NASDAQ,75012000,14,5358000,CBOU,-0.15483871,-0.241935484,-0.352258065,-0.352258065
GLOBAL PARTNERS LP,2005-09-29,New York Stock Exchange,107800000,22,4900000,GLP,-0.05,-0.066,-0.12199996,-0.22480004
STEALTHGAS INC.,2005-10-06,NASDAQ,116000000,14.5,8000000,GASS,-0.041895604,-0.078296703,-0.107142857,-0.120879121
"NXSTAGE MEDICAL, INC.",2005-10-27,NASDAQ,55000000,10,5500000,NXTM,0.142439024,0.248780488,0.356097561,0.222439024
SUNPOWER CORP,2005-11-17,NASDAQ,138600000,18,7700000,SPWR,-0.087500036,-0.071428571,0.069642893,0.267857143
BROOKDALE SENIOR LIVING INC.,2005-11-22,New York Stock Exchange,210368000,19,11072000,BKD,0.109523766,0.138528095,0.329870087,0.378787879
BASIC ENERGY SERVICES INC,2005-12-09,New York Stock Exchange,250000000,20,12500000,BAS,-0.004545455,-0.029545455,-0.063636364,0.113636364
CAPITALSOUTH BANCORP,2005-12-13,NASDAQ,11250000,18.75,600000,CAPB,-0.026315789,-0.052631579,0.105263158,0.073163158
"PERNIX SLEEP, INC.",2005-12-15,NASDAQ,55000000,11,5000000,SOMX,-0.054545489,-0.059090875,0.209090932,0.471818227
CHIPOTLE MEXICAN GRILL INC,2006-01-26,New York Stock Exchange,173333336,22,7878788,CMG,-0.002666644,0.064444489,0.020000044,0.183333333
"H&E EQUIPMENT SERVICES, INC.",2006-01-31,NASDAQ,196875000,18,10937500,HEES,0.137370809,0.152141859,0.227966629,0.777449521
KOPPERS HOLDINGS INC.,2006-02-01,New York Stock Exchange,140000000,14,10000000,KOP,0.078767123,0.164383562,0.273972603,0.327397192
TERNIUM S.A.,2006-02-01,New York Stock Exchange,496894400,20,24844720,TX,0.019088981,-0.019522734,0.04338395,0.16702825
"ENERGY TRANSFER EQUITY, L.P.",2006-02-03,New York Stock Exchange,441000000,21,21000000,ETE,-0.011304348,-0.045652174,-0.052173913,0.074347826
"CROCS, INC.",2006-02-08,NASDAQ,207900000,21,9900000,CROX,-0.025333333,-0.066666667,-0.133666667,0.191
ACORDA THERAPEUTICS INC,2006-02-10,NASDAQ,33000000,6,5500000,ACOR,0.095623987,0.051863857,0.009724473,-0.181523501
SPARK NETWORKS INC,2006-02-14,American Stock Exchange,236839652,7.12,33263996,LOV,0.026666667,-0.02,-0.073333333,-0.213333333
TRANSDIGM GROUP INC,2006-03-15,New York Stock Exchange,230045970,21,10954570,TDG,0.006263006,0.004175282,0.058455071,0.079331896
SEALY CORP,2006-04-07,New York Stock Exchange,448000000,16,28000000,ZZ,0.006285771,-0.047428571,-0.091428571,-0.234285714
