Symbol,Q1,Q2,Q3,Q4,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,MKT0,MKT1,MKT2,MKT3,MKT4,MKT5,MKT6,MKT7,MKT8,MKT9,MKT10,MKT11,MKT12,Name Words,Name Length,Offer Amount,Price,Shares,1D,1W,1M,3M
SNMX,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,36000000,6.0,6000000,0.03875969,-0.041860465,-0.063565891,0.255813953
MNTA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,27,34775000,6.5,5350000,0.182222222,0.32888888899999996,0.296296296,0.25629629600000003
CRM,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,18,110000000,11.0,10000000,0.17,0.093333333,-0.23,0.08
GOL,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,29,202266000,17.0,11898000,-0.030851065,-0.09574463300000001,-0.09574463300000001,0.11702133599999999
WCG,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,27,124666661,17.0,7333333,0.009326477,0.04663223,0.018134768,0.0025907260000000002
HEP,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,24,135725000,22.25,6100000,0.05106383,0.064255319,0.11063829800000001,0.246808511
DPZ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,17,339107006,14.0,24221929,-0.035714286,-0.034285714,-0.021428571,0.09071428599999999
QCCO,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,17,70000000,14.0,5000000,0.048275862,0.051724137999999996,-0.162068966,0.11724144800000001
LPL,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,20,748800000,15.0,49920000,-0.027777778,-0.013888889,0.107638889,-0.003472222
MNKD,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,87500000,14.0,6250000,-0.090322581,-0.091612877,-0.135483871,-0.051612902999999995
VLTR,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,27,36000000,8.0,4500000,0.024691357999999997,0.012345678999999998,-0.0012345680000000001,0.7790123459999999
GOOG,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,1666429420,85.0,19605052,0.010099986,0.04950001,0.144200023,0.8522999590000001
